student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6011a7ac15f61a6ba3afc3a7	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6009ab0400000956470c4b09	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6009ab0400000956470c4b09	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6009ab0400000956470c4b09	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6009ab0400000956470c4b09	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6009ab0400000956470c4b09	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6009ab0400000956470c4b09	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6009ab0400000956470c4b09	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6009ab0400000956470c4b09	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6009ab0400000956470c4b09	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6009ab0400000956470c4b09	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	0
6012fb6215f61a3e67379214	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6012fb6215f61a3e67379214	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6012fb6215f61a3e67379214	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6012fb6215f61a3e67379214	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6012fb6215f61a3e67379214	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6012fb6215f61a3e67379214	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6012fb6215f61a3e67379214	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	0
6012fb6215f61a3e67379214	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6012fb6215f61a3e67379214	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6012fb6215f61a3e67379214	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6012fb6215f61a3e67379214	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	0
6012fb6215f61a3e67379214	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6012fb6215f61a3e67379214	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6011c8520000090278e2d1a7	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6011c8520000090278e2d1a7	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6011c8520000090278e2d1a7	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	0
6011c8520000090278e2d1a7	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6011c8520000090278e2d1a7	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6011c8520000090278e2d1a7	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
600f1289e16a3a3762d53a37	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	0
600f1289e16a3a3762d53a37	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
600f1289e16a3a3762d53a37	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	0
600f1289e16a3a3762d53a37	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
600f1289e16a3a3762d53a37	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6017660c1e99fb0ee6378d08	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6017660c1e99fb0ee6378d08	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6017660c1e99fb0ee6378d08	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6017660c1e99fb0ee6378d08	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
600f4d7200b3a443522c8f7e	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
600f4d7200b3a443522c8f7e	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
600f4d7200b3a443522c8f7e	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
600f4d7200b3a443522c8f7e	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
600f4d7200b3a443522c8f7e	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
600f4d7200b3a443522c8f7e	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6016cd501e99fb0ee4917581	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6016cd501e99fb0ee4917581	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6016cd501e99fb0ee4917581	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	0
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	0
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6016cd501e99fb0ee4917581	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
600a11541e99fb12b89ab298	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
600a11541e99fb12b89ab298	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	0
600a11541e99fb12b89ab298	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	0
600a11541e99fb12b89ab298	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	0
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	0
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	0
600a11541e99fb12b89ab298	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
600a11541e99fb12b89ab298	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
600a11541e99fb12b89ab298	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	0
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	0
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
600f5fb7e16a3a3765e5cbc1	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6017554100b3a456fc25246e	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
6017554100b3a456fc25246e	5fc5eb04807e2b24830ac97f	24	22	2	1	HA_FITB	1	1
6017554100b3a456fc25246e	5fc5eb04807e2b24830ac9bf	24	22	2	2	HA_MC	1	0
6017554100b3a456fc25246e	5fc5eb04807e2b24830aca07	24	22	2	3	HA_MC	1	1
6017554100b3a456fc25246e	5fc5eb04807e2b24830aca47	24	22	2	4	HA_MC	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830aca8f	24	22	2	5	HA_MC	1	0
6017554100b3a456fc25246e	5fc5eb05807e2b24830acab7	24	22	2	6	HA_Numeric	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acaf7	24	22	2	7	HA_MCMS	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acb5f	24	22	2	8	HA_MC	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acbb3	24	22	2	9	HA_MC	1	0
6017554100b3a456fc25246e	5fc5eb05807e2b24830acbfb	24	22	2	10	HA_MC	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acc3b	24	22	2	11	HA_Pulldown	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acc8f	24	22	2	12	HA_MC	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830accbc	24	22	2	13	AG_Matching	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acd2f	24	22	2	14	AG_FITB	1	1
6017554100b3a456fc25246e	5fc5eb05807e2b24830acd40	24	22	2	15	AG_Matching	1	0
6017554100b3a456fc25246e	5fc5eb05807e2b24830acd9e	24	22	2	16	AG_Matching	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830ace11	24	22	2	17	AG_FITB	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830ace22	24	22	2	18	AG_Matching	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830ace80	24	22	2	19	AG_Matching	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830acef3	24	22	2	20	AG_FITB	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830acf04	24	22	2	21	AG_Matching	1	0
6017554100b3a456fc25246e	5fc5eb06807e2b24830acf62	24	22	2	22	AG_Matching	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830acfd5	24	22	2	23	AG_FITB	1	1
6017554100b3a456fc25246e	5fc5eb06807e2b24830acffb	24	22	2	24	AG_FITB	1	1
6018114be16a3a2e83215dd1	5fc5eb04807e2b24830ac943	24	22	2	0	HA_Pulldown	1	1
